Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
1970,7.1,15.5,25.7,44.1,55.4,66.2,71.0,68.0,59.0,49.3,32.2,18.9,42.7,,,,,,
1971,7.1,16.0,25.2,42.7,52.0,68.1,66.0,64.9,60.8,54.0,33.6,21.4,42.7,,,,,,
1972,8.3,12.5,24.4,38.7,58.4,62.6,67.1,67.0,57.3,43.7,31.9,14.6,40.5,,,,,,
1973,18.1,20.3,38.0,41.9,51.3,66.1,69.9,69.3,58.4,52.8,33.4,18.2,44.8,,,,,,
1974,14.2,15.7,28.9,44.4,51.5,61.3,71.0,65.3,53.7,47.0,34.6,24.0,42.6,,,,,,
1975,16.4,17.5,23.4,37.1,58.6,64.7,70.7,67.5,54.5,49.8,37.7,19.9,43.2,,,,,,
1976,10.7,24.5,30.0,46.1,52.8,66.8,70.3,66.8,56.9,41.9,25.3,9.1,41.8,,,,,,
1977,1.2,19.1,36.1,48.8,63.0,63.2,71.2,63.2,58.4,46.2,32.2,16.5,43.3,,,,,,
1978,8.4,10.4,26.4,41.4,56.5,63.6,67.0,67.3,62.1,46.4,31.4,15.1,41.3,,,,,,
1979,3.2,8.7,28.0,39.8,51.9,63.2,68.5,65.1,59.7,44.8,31.9,24.9,40.8,,,,,,
1980,14.4,14.7,25.2,44.8,57.7,63.3,70.5,67.8,57.7,42.6,33.9,18.4,42.6,,,,,,
1981,15.7,21.8,33.3,45.7,53.3,64.4,68.5,67.1,56.6,43.9,36.2,19.2,43.8,,,,,,
1982,3.9,15.1,27.3,39.3,59.2,58.8,69.9,65.0,57.0,48.3,31.7,26.0,41.8,,,,,,
1983,19.4,25.7,31.8,39.7,50.0,64.6,73.1,71.3,59.4,47.3,34.7,7.4,43.7,,,,,,
1984,11.8,27.6,24.0,44.5,52.1,66.0,67.9,69.5,56.2,49.7,32.8,20.7,43.6,,,,,,
1985,10.7,15.1,34.3,47.9,58.8,61.3,68.1,64.4,58.3,46.7,27.2,8.1,41.7,,,,,,
1986,15.8,16.8,32.7,48.3,57.7,64.3,70.6,63.8,58.6,47.1,28.8,23.0,44.0,,,,,,
1987,19.9,27.4,35.3,48.6,58.3,68.0,71.9,66.5,59.4,41.5,36.6,25.4,46.6,,,,,,
1988,10.4,12.9,30.7,43.9,59.4,68.5,72.6,71.0,59.5,41.3,34.2,19.3,43.6,,,,,,
1989,21.5,10.4,25.0,41.4,54.1,62.8,70.5,67.2,57.5,48.0,28.7,9.1,41.4,,,,,,
1990,24.7,20.9,33.6,45.6,51.7,64.9,67.9,66.9,60.4,45.2,37.3,18.3,44.8,,,,,,
1991,11.2,22.4,32.2,46.7,59.5,68.3,68.6,68.4,56.6,45.4,26.8,21.7,44.0,,,,,,
1992,20.6,25.6,30.2,40.4,56.1,61.6,63.4,62.9,56.6,45.2,30.9,21.3,42.9,,,,,,
1993,15.6,17.1,28.7,39.8,54.6,61.4,68.0,68.1,52.7,44.2,30.7,22.7,42.0,,,,,,
1994,4.4,11.8,31.7,43.4,55.3,66.4,67.1,64.2,61.2,49.5,36.8,25.8,43.1,,,,,,
1995,17.2,18.0,32.4,38.4,53.7,68.3,70.0,71.9,56.5,47.3,24.8,16.6,42.9,,,,,,
1996,10.4,16.0,23.3,38.7,51.4,64.3,65.8,67.3,58.8,46.8,26.2,18.2,40.6,,,,,,
1997,12.0,21.1,29.2,41.1,49.2,66.0,67.8,63.8,59.5,47.4,30.1,26.6,42.8,,,,,,
1998,20.6,31.8,31.5,46.9,60.7,63.4,69.4,68.9,63.0,48.9,37.4,25.8,47.4,,,,,,
1999,12.3,26.8,31.9,46.4,58.1,65.3,72.5,65.9,58.0,45.6,40.0,23.0,45.5,,,,,,
2000,15.3,25.4,37.9,42.8,56.8,62.7,67.6,67.5,58.1,50.3,32.7,9.1,43.9,,,,,,
2001,19.5,15.0,28.1,46.6,56.7,64.3,69.9,69.8,57.2,46.0,43.5,27.8,45.4,,,,,,
2002,24.3,26.5,24.6,42.9,50.6,66.1,72.7,67.5,61.5,41.9,31.6,24.4,44.6,,,,,,
2003,14.0,13.9,29.1,42.4,53.4,62.8,68.5,70.1,59.3,46.4,33.1,25.1,43.2,,,,,,
2004,10.9,20.9,33.6,44.4,52.7,61.8,66.8,62.1,62.8,47.8,37.0,20.7,43.5,,,,,,
2005,14.3,24.5,27.3,47.5,52.2,69.0,70.6,68.1,63.0,49.4,34.8,18.6,44.9,,,,,,
2006,28.0,18.4,31.7,48.8,56.0,64.8,72.7,68.0,56.2,42.6,36.6,27.4,45.9,,,,,,
2007,20.6,11.8,34.6,42.6,58.7,66.7,69.3,68.4,60.9,52.3,33.2,17.4,44.7,,,,,,
2008,15.0,13.3,25.4,42.8,51.7,64.1,68.8,66.3,60.4,46.4,33.5,13.0,41.7,,,,,,
2009,6.4,20.5,30.0,42.9,54.7,63.3,63.7,65.2,61.5,42.4,40.3,M,M,,,,,,
